No,group,Topic,Category,issues,identify_cause,initial_theme
39,MOGSC,Capability and Technology,Projects / EPCC,"Lack of incentive of technology development for Large company (listed company), only for Small & Medium company (VDP)",Difficult to grow the business further to become a global player,Technology
40,MOGSC,Capability and Technology,Projects / EPCC,Most of pilot project goes to foreign company. ,"Requirement to have high experience which local company don't have.

Client mainly look at the commercial basis where local companies unable to compete.",Technology
42,MOGSC,Capability and Technology,Projects / EPCC,"FEED done by operators is not mature / accuracy, time given for verification is limited","Become risk to contractors, can cause significant project economic impact",Capability
47,MOGSC,Capability and Technology,Downstream,Technology advancement issue. The acceptance from client on cost structure for the new technology. Tender award usually driven by commercial and not put enough consideration on technolgy advancement.,The limitation on cost structure. ,Technology
48,MOGSC,Capability and Technology,Chemicals ,Training on chemical handling,Cost too high and lack of certified training centre ,Capability
49,MOGSC,Capability and Technology,Chemicals ,Materials requirements not being specificied clearly during tender bidding,Additional requirements / costing issues / delayed delivery,Contract
51,MOGSC,Capability and Technology,Offshore Installation,Increase support on new technology.,Lack of condusive environment,Technology
52,MOGSC,Capability and Technology,Offshore Installation,Performance evaluation only for COMPANY. No room for contractor for griviance management. No avenue for contractor to comments / evaluate Company performance.,One sided relationship. ,Contract
53,MOGSC,Capability and Technology,Offshore Installation,Lack of player for the Transportation and Installation (TNI),Lot of player was financially incapable to continue business.,Capability
55,MOGSC,Capability and Technology,Engineering,Tech - FEED engineering  requires too much resources and time,,Technology
56,MOGSC,Capability and Technology,Engineering,"Tech - High cost of software used within the engineering sector affects profiltability.

Cost of software is too expensive. Ex: In Malaysia, 1 software (SP3D) costs RM17K/software. 2. Petronas unnecessarily requires SP3D that costs too expensive for even small projects for engineering firms to purchase.","Cost of software is too expensive. Ex: In Malaysia, 1 software (SP3D) costs RM17K/software. 2. Petronas unnecessarily requires SP3D that costs too expensive for even small projects for engineering firms to purchase.",Technology
59,MOGSC,Capability and Technology,Technology & Digitalisation,"Slow adoption to new technology. No specific route for evaluation and approval. 

'Some on-going new technology presentation or Proof of Concept (POC) being done left out without any conclusion or official feedback from Petronas.            ",Lack of exposure of the availability of new technology and Petronas usually prefer proven and matured technology,Technology
60,MOGSC,Capability and Technology,Technology & Digitalisation,Lack of centralised Approved Vendor List (AVL) system,"Current practice, the approval is not clear as there are several different department in Petronas handling the approval process. Exe. GR&T, PD&T, GTS, TDEX, IVA and etc",Contract
61,MOGSC,Capability and Technology,Technology & Digitalisation,Cost vs Value; Exe. K5 Project did not materialized due to decision being made based on Cost.,Do not see total cost of ownership,Contract
62,MOGSC,Capability and Technology,Technology & Digitalisation,Lack of visibility of real time performance data,No information sharing between OPUs / PACs.,Technology
63,MOGSC,Integrity,HUCSU & Offshore Maintenance,"Most of the times, Sub-contractors do not fill-up and complete the Jobcards upon completion of physical works at site.

'Submission & approval parties to ensure job card to be filled up and sign off , on daily basis at offshore.",Jobcards are only filled-up and completed by Main Contractor during Final Documentation process back at Office upon completion of Project. ,HSE
65,MOGSC,Integrity,Projects / EPCC,"Technical integrity issue, personnel not comply with procedures","Tight schedule, cost saving measure due to low project price",Capability
67,MOGSC,Integrity,Downstream,"The transparency on bidding result.
",No feedback/ information to the rejected bidder / unsuccessful bidder.,Contract
68,MOGSC,Integrity,Downstream,Petronas/ PAC would start blacklisted the contractor when the contractor initial legal suit against them,When the dispute has fail to resolve on the discussion table. ,Contract
70,MOGSC,Integrity,Offshore Installation,"Contract awarded without bidding.
Exe : Jerun pipeline","Weak contract team governance.
Lack of transparency.",Contract
72,MOGSC,Integrity,Engineering,"EPCC conractor not honoring the bid submission (most of the time, EPCC contractor will conduct rebid after the won the EPCC tender)",,Contract
73,MOGSC,Integrity,Engineering,Late notification of extension of tender submission (sometimes 2-3 hours only before the daedline),,Contract
75,MOGSC,Integrity,Engineering,Cancelling tender (tender abort),,Contract
77,MOGSC,Integrity,Technology & Digitalisation,Conflict of interest between Regulator and Operator.Exe. MPM (regulator) currently under Petronas.,Regulator is part of Petronas Upstream business ,Integrity
78,MOGSC,Others,HUCSU & Offshore Maintenance,"Financial - 	Longer claim & payment process (review and approval).","- Multilevel verifications and approval.

- Longer duration taken to review Job Completion Ticket (JCT).

- Non-uniform approval approving SOPs between different regions / PSCs",Contract
80,MOGSC,Others,HUCSU & Offshore Maintenance,"Petronas - Reimbursable Cost Plus – 3%.

Other PACs - RCP on volume basis i.e. 3% for WO value < RM1mil & 5% for WO value >RM1mil.",Different practices among Petronas and other PACs.,Contract
81,MOGSC,Others,HUCSU & Offshore Maintenance,"Financial - Inconsistent payment terms between Main Contractor and Sub-contractor.

'No control measure to monitor Main Contractor payment to Sub Contractor & vendors.",Unfair payment terms transfer the risk to sub-contractor for cases where Client has paid Main Contractor but Sub-contractor is not paid yet.,Contract
82,MOGSC,Others,HUCSU & Offshore Maintenance,"Award strategy for each of the contract need to within ceilling price by Petronas or others PAC

'Need to consider the impact of non-performing contractor after award. Exe. re-appoint new contractor & documentation completeness issues prior to start-up",If client award startegy based on lowest price all rate during execution effected and project quality also contractor/partner not sustanable long term in industry ,Contract
83,MOGSC,Others,HUCSU & Offshore Maintenance,"Currently Pre-Hire Inspection (PHI) for Marine Vessels is project and location based.

'Cost & time concerns. Unnecessary cost & time lost for PHI even for 1 month job when it can be done based on the validity period of the PHI.

","- Constraints are faced, when the marine vessels are transferred from one Project to another, or between different Clients.",HSE
84,MOGSC,Others,HUCSU & Offshore Maintenance,"Marine Vessels berthing constraints at most of the Ports. Time lost waiting at Anchorage. Additional cost need to be absorbed by contractor.

'Difficult to meet the project schedule based on current situation (day loss at anchorage)

'Liquidated Damage (LD) being imposed to contractor",Currently some vessels at certain Ports are facing up to 4 days waiting period prior to secure berthing.,Contract
87,MOGSC,Others,Subsurface,"Cost absorb by contractor in the event changes in government regulation

'Exe. Work permit, equipment rental during pandemic, manpower rates during quarantine (pandemic)",,Contract
88,MOGSC,Others,Subsurface,"Poor MYR-USD currency exchange rate, impacting business having costs in USD.",,Contract
90,MOGSC,Others,Subsurface,Aggregrate liabillity without exceptions. ,"Risks taken by contractors should be proportionate to the service provided, and capped to a reasonable amount e.g PO/WO value",Contract
92,MOGSC,Others,Subsurface,One down all down term should be removed from integrated contracts,,Contract
93,MOGSC,Others,Subsurface,"API vs OEM certification, cost is higher to do OEM.",,Capability
94,MOGSC,Others,Subsurface,Catastrophic clause: Indemnify contractor for any lost of damage including  claims arising from 3rd party redrilling and polution and contamination emanating from the well's reservoir. To include in contractor indemnity clause.,,Contract
96,MOGSC,Others,Subsurface,Better cancellation fees. Exe. Some contract cacellation fees is only 10% from mobilization fee.,,Contract
97,MOGSC,Others,Subsurface,"Annual pricing revision to account for inflation, logistics, etc",,Contract
99,MOGSC,Others,Subsurface,Buy back clause for products,Buy back due to surplus. PAC should optimize the planning ,Contract
100,MOGSC,Others,Projects / EPCC,"Supplier price, raw material, forex is almost double compared to pre-pandemic",,Contract
101,MOGSC,Others,Projects / EPCC,"Approved Vendor List (AVL)  is limited, sometimes at high cost.","When quality issue arrise, contractor has to take the risk and bear the cost",Contract
104,MOGSC,Others,Projects / EPCC,Force majeure status - Ukraine-Russia war. Impacted supply chain locally but why not force majeure,Contractor impacted by the late delivery penalties,Contract
105,MOGSC,Others,Projects / EPCC,"Contractors complied when PETRONAS ask for discounts during pandemic, but seems to be no effort to increase he priceback after pandemic.",Difficult for contractor to recover after crisis time.,Contract
111,MOGSC,Others,Downstream,Contractor has to hold liability & come up for cash for payment for the services with minimum cost plus percentage. (material 5% & services 10%) ,Unfair cost plus setting.,Contract
112,MOGSC,Others,Downstream,Current contract rate is no longer sustainable to carry out business,Schedule of rate for long term agreement has fluctuated and not sustainable,Contract
113,MOGSC,Others,Downstream,Lack of opportunity & prioritization for local contractor for participate in international contract bidding. (Beyond Home Programme),No invitation from Petronas for the contractor on international contract.,Contract
114,MOGSC,Others,Chemicals ,Payments (SMART GEP) - difficulties / delay to get into approval for Service Confirmation (SC) ,The systems and insufficient support from Petronas employee (operations side),Contract
117,MOGSC,Others,Offshore Installation,Milestone payment for any project must be disburse to allow positive cashflow,Current milestone payment lead to negative cashflow,Contract
118,MOGSC,Others,Offshore Installation,During the kick off pan malaysia - To create volume but the plan and actual was not as per said ,No proper project planning & good management of change,Contract
119,MOGSC,Others,Offshore Installation,Weather downtime standby rate exceed the contractual days borne by contractor,Weather standby cost should be absorbed by clients,Contract
120,MOGSC,Others,Offshore Installation,To allow contract negotiation before expiring due to valid reason,"Fluctuation of commidity price.
During economy downterm, the price might get higher.",Contract
122,MOGSC,Others,Offshore Installation,"Malaysian asset was not fairly treated ;
Malaysian flag asset was not given priority.","Petronas have to provide the asset funding
",Contract
123,MOGSC,Others,Offshore Installation,Long term contract should pay for PMT.,The TNC defined no payment would give without enough volume of work order.,Contract
124,MOGSC,Others,Offshore Installation,Maintenance plan was not transparent and not commit with the plan,"Poor planning
",Contract
127,MOGSC,Others,Offshore Installation,"No proper support for local companies to venture into getting / increase capabilities in high tech tecnology and equipment.
Ex, ROV, ILT, Hammer, Diving","No support for local companies to acquire high technology and becoming equipment owner.
",Technology 
129,MOGSC,Others,Offshore Installation,Outdated of price bechmarking.,Stuck at Coral 2.0 initiative. ,Contract
130,MOGSC,Others,Offshore Installation,Liquidated damage (LD) - LD to be waive if theres not significant lose to the company.,Typical generic contract TNC,Contract
133,MOGSC,Others,Engineering,Unrealistic bidding submission period / time.,"Insufficient time to prepare for a tender, leads to poor decision making",Contract
135,MOGSC,Others,Engineering,T&C unfair for service providers,Issues with 'not limited to' under he tendering clause clause,Contract
139,MOGSC,Others,Engineering,Milestone is not parallel to cashflow,,Contract
141,MOGSC,Others,Engineering,Verification of basic engineering is too vague,Petronas GTS do basic engineering wrongly,Contract
142,MOGSC,Others,Technology & Digitalisation,Preference to Foreign inventions/inventors ,Lack of trust to local inventions ,Technology 
1,MTEM,,,"Bundling/ Unbundling contracting strategy
",,Contract
2,MTEM,,,Industry concern on CPTPP,,Contract
